soc,voltage
0.0,2.7758
0.0079,2.8876
0.0157,2.949
0.0236,2.9702
0.0315,2.992
0.0394,3.0158
0.0472,3.0623
0.0551,3.096
0.063,3.1478
0.0709,3.187
0.0787,3.2232
0.0866,3.2379
0.0945,3.2733
0.1024,3.302
0.1102,3.3241
0.1181,3.3421
0.126,3.3568
0.1339,3.3692
0.1417,3.3797
0.1496,3.3888
0.1575,3.3968
0.1654,3.4039
0.1732,3.4102
0.1811,3.416
0.189,3.4213
0.1969,3.4263
0.2047,3.4309
0.2126,3.4353
0.2205,3.4394
0.2283,3.4434
0.2362,3.4471
0.2441,3.4508
0.252,3.4543
0.2598,3.4576
0.2677,3.4609
0.2756,3.464
0.2835,3.4671
0.2913,3.4701
0.2992,3.473
0.3071,3.4759
0.315,3.4787
0.3228,3.4815
0.3307,3.4842
0.3386,3.487
0.3465,3.4897
0.3543,3.4924
0.3622,3.495
0.3701,3.4977
0.378,3.5005
0.3858,3.5032
0.3937,3.506
0.4016,3.5088
0.4094,3.5117
0.4173,3.5146
0.4252,3.5177
0.4331,3.5208
0.4409,3.5239
0.4488,3.5272
0.4567,3.5306
0.4646,3.534
0.4724,3.5375
0.4803,3.5411
0.4882,3.5448
0.4961,3.5486
0.5039,3.5524
0.5118,3.5563
0.5197,3.5604
0.5276,3.5644
0.5354,3.5686
0.5433,3.5729
0.5512,3.5772
0.5591,3.5815
0.5669,3.586
0.5748,3.5905
0.5827,3.5951
0.5906,3.5997
0.5984,3.6044
0.6063,3.6092
0.6142,3.6141
0.622,3.619
0.6299,3.6239
0.6378,3.6289
0.6457,3.634
0.6535,3.6392
0.6614,3.6444
0.6693,3.6496
0.6772,3.6549
0.685,3.6603
0.6929,3.6658
0.7008,3.6713
0.7087,3.6768
0.7165,3.6824
0.7244,3.6881
0.7323,3.6938
0.7402,3.6996
0.748,3.7054
0.7559,3.7113
0.7638,3.7172
0.7717,3.7232
0.7795,3.7292
0.7874,3.7353
0.7953,3.7416
0.8031,3.7481
0.811,3.7547
0.8189,3.7616
0.8268,3.7687
0.8346,3.7759
0.8425,3.7833
0.8504,3.7906
0.8583,3.798
0.8661,3.8053
0.874,3.8126
0.8819,3.8197
0.8898,3.8269
0.8976,3.8343
0.9055,3.8419
0.9134,3.85
0.9213,3.8585
0.9291,3.8676
0.937,3.8772
0.9449,3.8874
0.9528,3.8986
0.9606,3.9109
0.9685,3.9251
0.9764,3.9422
0.9843,3.9641
0.9921,4.0605
1.0,4.1905
